,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
74447,37813,Astrid Elisabeth Gabrielsson,F,22.0,177.0,70.0,Sweden,SWE,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Two Person Dinghy,
74448,37814,Axel Robert Gabrielsson,M,25.0,,,Gteborgs Roddfrening-2,SWE,1912 Summer,1912,Summer,Stockholm,Rowing,"Rowing Men's Coxed Fours, Inriggers",
74449,37815,Charles Adolf Gabrielsson,M,27.0,,,Gteborgs Roddfrening-2,SWE,1912 Summer,1912,Summer,Stockholm,Rowing,"Rowing Men's Coxed Fours, Inriggers",
74450,37816,Gunnar Emil Gabrielsson,M,28.0,,,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Free Pistol, 50 metres",
74451,37816,Gunnar Emil Gabrielsson,M,28.0,,,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Silver
74452,37817,Anders Peter Gabrielsson,M,31.0,181.0,72.0,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",
74453,37817,Anders Peter Gabrielsson,M,31.0,181.0,72.0,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
74454,37817,Anders Peter Gabrielsson,M,35.0,181.0,72.0,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",
74455,37817,Anders Peter Gabrielsson,M,35.0,181.0,72.0,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
74503,37842,Knut Gustaf Gadd,M,32.0,,,Sweden,SWE,1948 Summer,1948,Summer,London,Water Polo,Water Polo Men's Water Polo,
75139,38129,Magnus Lars Olof Gllerdal,M,25.0,181.0,70.0,Sweden,SWE,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
75140,38129,Magnus Lars Olof Gllerdal,M,25.0,181.0,70.0,Sweden,SWE,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",
75141,38129,Magnus Lars Olof Gllerdal,M,28.0,181.0,70.0,Sweden,SWE,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
75142,38129,Magnus Lars Olof Gllerdal,M,28.0,181.0,70.0,Sweden,SWE,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",
76311,38725,Erik Michael Grdebck,M,19.0,186.0,88.0,Sweden,SWE,1976 Winter,1976,Winter,Innsbruck,Luge,Luge Men's Singles,
76312,38725,Erik Michael Grdebck,M,19.0,186.0,88.0,Sweden,SWE,1976 Winter,1976,Winter,Innsbruck,Luge,Luge Mixed (Men)'s Doubles,
